id,source,source_url,preview
fresno_so_2020_012,FRESNO SO,https://www.fresnosheriff.org/media-relations/thursday-re-entry-zones-for-specific-residents-to-survey-creek-fire-damage-2.html,"September 23, 2020 Publication date: 2020-09-23 Source: The Fresno County Sheriff’s Office and Fresno County officials are collaborating to identify safe zones for re-entry within the burn area of the Creek Fire. These d"
fresno_so_2020_013,FRESNO SO,https://www.fresnosheriff.org/media-relations/friday-re-entry-zones-for-specific-residents-to-survey-creek-fire-damage.html,"September 24, 2020 Publication date: 2020-09-24 Source: The Fresno County Sheriff’s Office and Fresno County officials are collaborating to identify safe zones for re-entry within the burn area of the Creek Fire. These d"
fresno_so_2020_014,FRESNO SO,https://www.fresnosheriff.org/media-relations/saturday-re-entry-zones-for-specific-residents-to-survey-creek-fire-damage-2.html,"September 25, 2020 Publication date: 2020-09-25 Source: The Fresno County Sheriff’s Office and Fresno County officials are collaborating to identify safe zones for re-entry within the burn area of the Creek Fire. These d"
fresno_so_2020_015,FRESNO SO,https://www.fresnosheriff.org/media-relations/detectives-search-for-new-evidence-in-1982-kerman-murder-investigation.html,"November 06, 2020 Publication date: 2020-11-06 Source: On Tuesday, July 13, 1982, at about 5:20 a.m., Abel Garza Sr. (26 years old at the time) called the Kerman Police Department (not using 911) to report a residential "
fresno_so_2021_005,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-s-property-crimes-detectives-and-fontana-police-team-up-to-arrest-dangerous-wanted-felon.html,"July 20, 2021 Publication date: 2021-07-20 Source: The Fontana Police Department has arrested 40 year old Tielman Lindsay and his 38 year old wife, Angela Lindsay. Both are from Lake Havasu City, AZ and are currently in "
fresno_so_2021_006,FRESNO SO,https://www.fresnosheriff.org/media-relations/former-correctional-officer-laid-to-rest.html,"October 25, 2021 Publication date: 2021-10-25 Source: On Monday, October 25th, a funeral service was held at the Save Mart Center in Fresno for former Fresno County Correctional Officer Toamalama Scanlan. Services For To"
fresno_so_2022_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/fresno-county-sheriff-coroner-s-office-loses-its-chief-forensic-pathologist-to-deadly-car-crash.html,"August 27, 2022 Publication date: 2022-08-27 Source: The California Highway Patrol (CHP) reports that on August 27, 2022, at approximately 10:00 am, officers responded to a report of an injury collision on Highway 168, e"
fresno_so_2023_002,FRESNO SO,https://www.fresnosheriff.org/media-relations/bodies-of-4-year-old-and-8-year-old-siblings-recovered-in-kings-river.html,"May 22, 2023 Publication date: 2023-05-22 Source: Monday morning, CAL FIRE/Fresno County Fire personnel on a boat saw the 4 year old boy beneath the water caught against a tree. A firefighter was deployed into the water "
fresno_so_2023_003,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-zanoni-reopens-san-joaquin-river-to-recreational-users.html,"June 16, 2023 Publication date: 2023-06-16 Source: Effective Friday, June 16th, 2023, the Fresno County Sheriff’s Office is reopening the San Joaquin River from Friant Dam to the Merced County line. This means there are "
fresno_so_2023_004,FRESNO SO,https://www.fresnosheriff.org/media-relations/sheriff-zanoni-reopens-kings-river-to-recreational-users.html,"August 01, 2023 Publication date: 2023-08-01 Source: Effective Tuesday, August 1st, 2023, the Fresno County Sheriff’s Office is reopening the Kings River from Pine Flat Dam to the Tulare and Kings County lines. Tulare Co"
fresno_so_2024_009,FRESNO SO,https://www.fresnosheriff.org/media-relations/san-joaquin-river-drowning-victim-identified.html,"June 10, 2024 Publication date: 2024-06-10 Source: The man who drowned in the San Joaquin River has been identified as 24 year old Ricardo Perez Diaz of Madera. Around 12:30 pm on Friday, deputies and EMS personnel respo"
fresno_so_2024_010,FRESNO SO,https://www.fresnosheriff.org/media-relations/shaver-lake-drowning-victim-identified.html,"June 10, 2024 Publication date: 2024-06-10 Source: The boy who drowned in Shaver Lake on Sunday has been identified as Alejandro Araujo, 16, of Orosi. Alejandro was a student at Orosi High School who was just wrapping up"
fresno_so_2024_011,FRESNO SO,https://www.fresnosheriff.org/media-relations/fresno-county-sheriffs-dive-unit-recovers-body-of-young-man-from-san-joaquin-river.html,"July 02, 2024 Publication date: 2024-07-02 Source: At 2:00 pm on Monday, deputies assigned to the Fresno County Sheriff’s Dive Unit recovered the body of a young man from the bottom of the San Joaquin River in Firebaugh."
